att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,class
0.397174,0.347518,0.294057,0.506484,0.115967,0.770536,0.659893,0.156747,0.378202,0.139763,-1
0.450218,0.004853,0.852254,0.023418,0.70501,0.27503,0.075388,0.610592,0.954931,0.274069,-1
0.184707,0.010684,0.161043,0.178055,0.540397,0.973834,0.245427,0.394521,0.217602,0.432007,-1
0.520779,0.38725,0.271306,0.112821,0.228802,0.991882,0.586248,0.962215,0.265155,0.362896,-1
0.33361,0.443212,0.504136,0.998981,0.630405,0.909584,0.50766,0.491451,0.428784,0.308093,-1
0.494619,0.015384,0.358995,0.242478,0.801157,0.109841,0.518787,0.526726,0.360055,0.442536,-1
0.777916,0.225022,0.983103,0.803619,0.836315,0.163104,0.637497,0.00876,0.63119,0.207978,1
0.304236,0.808241,0.427352,0.055122,0.139614,0.596579,0.94726,0.509387,0.654316,0.707768,1
0.09975,0.617146,0.02812,0.591439,0.073026,0.074048,0.679935,0.280002,0.603984,0.849641,-1
0.563477,0.241606,0.018003,0.825752,0.539762,0.641837,0.970622,0.863258,0.790851,0.843675,1
0.4577,0.86245,0.901924,0.062488,0.76382,0.4277,0.999183,0.061902,0.586321,0.567293,1
0.201712,0.9974,0.709021,0.87599,0.85405,0.777712,0.216407,0.878876,0.832904,0.264864,1
0.463838,0.177243,0.676123,0.715572,0.74337,0.929103,0.589894,0.644012,0.11049,0.774604,1
0.745302,0.369472,0.555044,0.877953,0.255963,0.241336,0.424253,0.565015,0.049864,0.896314,-1
0.110274,0.762133,0.030069,0.316631,0.667073,0.426443,0.400557,0.743762,0.365306,0.763755,1
0.858865,0.78861,0.007994,0.041043,0.449685,0.267898,0.947848,0.373645,0.027926,0.771693,1
0.966254,0.996523,0.239106,0.445181,0.130222,0.234474,0.656082,0.57223,0.555967,0.250296,1
0.39247,0.416515,0.045004,0.714833,0.569082,0.454069,0.469735,0.450964,0.486557,0.459702,-1
0.938031,0.266417,0.229171,0.303976,0.371941,0.857127,0.807076,0.388729,0.265246,0.032373,-1
0.156223,0.488843,0.990746,0.979576,0.153548,0.930341,0.459511,0.859035,0.097435,0.205377,-1
0.1676,0.594631,0.80989,0.514929,0.348981,0.053093,0.60619,0.681526,0.583743,0.369752,-1
0.55181,0.658783,0.313954,0.000769,0.105936,0.983463,0.601031,0.53079,0.18881,0.466575,-1
0.319708,0.549693,0.522259,0.315315,0.696113,0.094877,0.958808,0.129678,0.023599,0.084721,-1
0.415203,0.195444,0.979984,0.370299,0.871794,0.051752,0.726193,0.570089,0.03988,0.360193,-1
0.379863,0.107704,0.766033,0.208782,0.945102,0.027574,0.746923,0.636326,0.938539,0.093859,1
0.540535,0.508643,0.698689,0.658112,0.826413,0.298165,0.158864,0.360674,0.467006,0.90337,1
0.742931,0.05687,0.559841,0.367996,0.882235,0.879977,0.06046,0.071766,0.229253,0.222621,-1
0.703747,0.937472,0.048409,0.10612,0.985779,0.945803,0.947192,0.372811,0.814716,0.270731,1
0.466092,0.80332,0.082084,0.479606,0.961182,0.238113,0.453188,0.481088,0.065748,0.108823,-1
0.730436,0.496878,0.626458,0.167021,0.330722,0.505266,0.164598,0.607066,0.991911,0.244739,-1
0.916763,0.380352,0.172498,0.133272,0.478372,0.87529,0.412441,0.529256,0.633051,0.161035,-1
0.267898,0.306086,0.014746,0.160431,0.717153,0.827008,0.384212,0.65843,0.228219,0.240578,-1
0.367112,0.631842,0.884465,0.657482,0.643277,0.067801,0.60272,0.552196,0.530531,0.912981,1
0.49671,0.60197,0.782733,0.096795,0.940862,0.095142,0.408575,0.821977,0.477982,0.045032,1
0.465612,0.668876,0.312331,0.88842,0.721769,0.721435,0.521094,0.967329,0.748228,0.740945,1
0.37464,0.409961,0.7305,0.053539,0.519187,0.939537,0.70825,0.506576,0.067578,0.899864,-1
0.628985,0.711968,0.357314,0.930963,0.262171,0.393711,0.96585,0.317363,0.491337,0.96981,1
0.828549,0.254295,0.740633,0.526049,0.918995,0.650235,0.23094,0.293728,0.813478,0.343646,1
0.137419,0.306951,0.608128,0.239067,0.472055,0.080653,0.538994,0.804852,0.849638,0.093962,-1
0.857626,0.918377,0.621605,0.987552,0.941414,0.934324,0.608501,0.488236,0.331172,0.403636,1
0.195114,0.592368,0.163075,0.611757,0.486869,0.916713,0.471673,0.767731,0.821168,0.516041,1
0.662596,0.400732,0.973543,0.78768,0.069873,0.625956,0.897078,0.622638,0.966255,0.894105,1
0.47554,0.572311,0.284694,0.061952,0.092116,0.426465,0.210285,0.839862,0.000263,0.747347,-1
0.544998,0.184843,0.926603,0.044407,0.404872,0.309898,0.357749,0.337169,0.499634,0.707239,-1
0.065847,0.344539,0.759286,0.203715,0.450383,0.427233,0.519395,0.700989,0.024813,0.638686,-1
0.541763,0.726667,0.132363,0.036613,0.40849,0.06941,0.074298,0.734267,0.356081,0.721628,-1
0.917871,0.603767,0.791296,0.464866,0.05774,0.745025,0.953412,0.074619,0.879717,0.776514,1
0.854045,0.853787,0.929572,0.766686,0.183841,0.025054,0.905967,0.622002,0.720459,0.253065,1
