att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,class
0.210372,1.009586,0.0919,0.272071,0.450117,0.226098,0.212286,0.37267,0.583146,0.297007,4
0.688071,0.625083,0.361614,0.294849,0.46068,0.83491,0.69795,0.757025,0.794368,0.760514,2
0.203156,0.450355,0.427302,0.519515,0.700528,0.025006,0.638194,0.433134,0.387111,0.005411,0
0.434313,-0.039035,0.522708,-0.020806,0.791731,0.692403,0.821918,0.063943,-0.096028,0.504662,4
0.40854,0.536533,0.301184,0.585808,0.299471,0.987396,0.138013,0.41847,-0.047781,0.834338,0
-0.091048,-0.531434,0.781819,0.910386,0.776607,0.715839,0.244285,-0.210431,-0.294965,1.155617,1
0.38814,0.38088,0.436877,0.057801,0.729008,0.554882,0.459865,0.44903,0.456493,0.474249,4
0.186139,0.993126,-0.002949,0.43363,0.354143,0.306355,0.353141,0.497157,0.652577,0.283812,4
0.401486,0.71278,0.38794,0.647276,-0.035856,0.798615,0.748183,0.827333,0.485258,-0.069007,2
0.00719,0.189242,0.857018,0.80946,0.346298,0.792215,0.177239,0.585124,0.846321,0.307375,3
0.416023,-0.080904,0.86174,0.758645,0.588208,1.110283,-0.108987,0.290045,1.117088,0.115806,3
0.428329,1.022935,0.583051,0.974198,-0.170979,0.500626,0.329263,0.359639,0.341361,-0.16954,2
0.933942,0.101,0.956034,0.970261,0.750546,0.318073,0.527639,0.559754,0.320769,0.31096,4
0.918458,-0.147603,0.437131,1.001666,0.286892,0.508147,0.513899,0.75388,0.984248,0.261874,4
0.410468,0.854716,0.519542,0.049962,0.355036,0.553286,0.815159,0.997976,0.409155,0.735965,2
0.320232,-0.007606,0.492681,0.318761,0.241551,0.640803,0.518662,0.259164,0.357094,0.503487,4
0.338095,0.584859,0.113892,0.24273,1.295554,0.680581,-0.000735,-0.106813,0.664676,0.843926,4
0.389747,0.387634,0.428639,0.041895,0.723986,0.58248,0.44814,0.476065,0.461908,0.48111,4
0.107195,0.672339,0.662695,0.522074,0.366782,0.976045,0.775366,0.203442,0.408475,0.690948,4
0.350944,0.261691,0.513459,0.514018,0.450941,0.915375,0.88746,-0.03896,0.611232,0.840108,2
0.74704,0.750798,0.839881,0.554664,0.243257,0.766192,0.719221,0.088102,0.542995,0.812881,4
0.182708,1.117667,0.337177,0.426309,0.118418,1.010235,0.455413,1.06378,0.1682,0.304183,2
0.210667,0.472746,0.406522,0.542836,0.717245,0.01027,0.655707,0.42144,0.394809,0.016953,0
0.78975,0.818402,0.482535,0.33243,0.312859,0.044487,0.518325,0.307054,0.641238,0.996146,3
0.686673,-0.242246,1.115249,0.140746,0.948505,0.391854,0.563661,-0.6701,-0.328375,0.886832,4
0.149203,0.883357,0.694208,0.802227,0.658106,0.167437,1.059972,0.227208,0.004756,0.61412,2
0.09425,0.928074,0.725288,0.76438,0.69812,0.141896,0.980158,0.150287,0.020473,0.694785,2
-0.047901,0.175047,0.71227,0.804798,0.440796,0.700788,0.169473,0.315841,0.447556,0.384565,1
0.268371,0.407562,0.135157,1.056337,0.474669,0.991713,0.833651,0.691481,0.850322,0.559689,0
0.748509,0.744754,0.854436,0.537058,0.264723,0.743351,0.697699,0.070522,0.521292,0.81422,4
0.601763,0.711158,0.335415,0.917229,0.15671,0.947365,0.723226,0.4876,0.869757,0.980004,4
0.27672,0.30353,0.454327,0.744039,0.619435,0.889142,0.448011,0.077937,0.929948,0.5667,4
0.201096,0.210983,0.300134,0.969248,0.507479,0.985807,0.870428,0.856668,0.970336,0.641177,0
-0.060619,0.175769,0.79655,0.754294,0.597577,0.873359,0.118868,0.576317,1.012674,0.209272,3
0.473707,0.083231,0.545323,0.060545,0.634099,0.87866,0.785434,-0.013802,0.052006,0.457558,4
0.556623,0.515603,0.329765,0.230784,0.167445,0.634715,0.613741,1.054161,0.425318,1.056983,2
0.525743,0.773419,0.747769,0.154322,0.276863,-0.260769,1.104672,-0.590303,-0.217305,1.068398,1
0.283947,0.472255,0.270593,0.627227,0.97465,0.91695,0.232702,0.086201,0.736951,0.596795,4
0.203096,0.448808,0.428786,0.520492,0.702253,0.024053,0.639775,0.434465,0.386541,0.006949,0
-0.012666,0.681333,0.69411,0.602198,0.364834,0.895018,0.806946,0.189401,0.461364,0.73611,4
1.2576,-0.133881,0.716476,0.42056,1.378064,0.416514,1.337225,1.301204,1.486509,1.071007,1
0.369338,0.45352,0.342832,0.43498,0.498141,0.993442,0.627158,0.916867,0.4972,0.498879,3
0.524779,-0.03075,0.39461,0.18079,0.809825,0.10652,0.564472,0.495609,0.434421,0.503558,0
0.277966,0.533721,0.366644,0.573115,0.291517,0.933503,0.18091,0.423869,0.088955,0.793811,0
0.07138,1.241626,0.905233,0.239111,0.525996,1.139242,1.105652,0.553431,0.196455,0.902176,4
0.520481,0.949939,0.497408,0.592541,0.158107,0.562394,0.083154,0.337191,0.093612,0.679534,0
0.337197,1.024587,0.284133,1.146092,0.518578,0.656193,0.359382,0.381645,0.319246,1.090818,0
0.380245,0.386851,0.4145,0.04083,0.712187,0.573395,0.455575,0.473324,0.448142,0.484374,4
0.251279,0.471363,0.277741,0.606493,0.930117,0.873977,0.225241,0.057412,0.770014,0.547799,4
-0.403797,0.249017,0.964902,0.77515,0.284941,0.453699,0.559326,-0.048726,0.893596,-0.050292,1
1.055796,0.649968,0.039221,0.699363,0.603039,0.175883,0.66347,1.030708,0.059156,0.231862,3
0.888152,0.677271,0.150033,0.555129,0.445905,-0.000414,0.596693,0.093282,0.53672,1.05432,3
0.134978,0.730007,0.69423,0.994539,0.617103,0.537653,-0.119048,0.613298,0.74611,0.864567,1
0.48308,0.79682,0.800956,0.583839,0.577627,0.122713,0.301018,0.437707,0.251526,0.671381,4
0.072732,0.04034,0.53005,0.758199,0.382549,1.181538,1.045877,1.133409,1.1436,0.290785,0
0.312751,0.110031,0.326945,0.252988,0.769819,1.011362,0.212181,-0.2861,0.68079,0.884982,4
0.473135,1.087597,0.272901,0.83549,0.356442,0.542181,0.472806,0.877172,0.431126,-0.081733,2
0.075066,0.557947,0.477829,0.775043,1.074466,0.599886,0.315564,-0.045468,0.952402,0.663169,4
0.320306,0.468211,0.959466,0.748151,0.395085,0.617262,0.505718,-0.108341,0.559997,0.662174,1
0.134343,0.22156,0.5631,0.475236,0.593568,0.888416,0.093641,0.250509,0.714104,0.368375,0
0.358922,0.932753,0.54296,0.688186,0.247407,0.346445,0.005323,0.293831,0.259159,0.69228,0
0.756815,0.366212,0.656864,0.829139,0.298191,0.552551,0.329815,0.952125,0.748915,0.41811,4
-0.305649,0.934891,0.319799,0.771874,0.528242,0.596892,-0.012974,0.318283,1.094151,0.630976,1
0.846753,0.805064,0.175843,0.753121,0.666412,0.327727,0.588911,0.823146,0.093115,0.16388,3
0.183184,0.925397,0.040376,0.40888,0.305152,0.362457,0.335536,0.502979,0.704083,0.26791,4
1.441448,0.840482,0.389587,1.766543,0.760876,0.168834,-0.127776,1.030962,0.663639,-0.381123,4
0.979372,0.697244,0.16164,0.772632,0.621936,0.344041,0.673327,0.992703,0.101017,0.073806,3
0.088566,0.778641,0.586398,0.552356,0.519918,0.952788,0.66459,0.238499,0.586879,0.78552,4
0.461782,1.147241,0.777674,0.812011,0.330607,0.477647,0.135353,0.158709,0.150818,0.859523,0
0.428572,0.299287,0.228115,0.528803,0.84701,0.95411,0.417852,0.127653,-0.017462,0.604147,1
0.761364,0.425225,0.494874,0.790056,0.374047,0.558471,0.275126,0.960267,0.612846,0.309845,4
-0.054882,-0.052475,0.716456,0.471232,0.151908,1.137563,-0.095974,0.265315,1.324323,-0.092056,3
0.819635,0.221026,0.076268,0.484725,0.019026,0.667609,0.905316,0.994678,0.844834,0.559414,2
0.872619,0.636084,0.806036,0.256384,0.301436,0.835882,0.053441,0.89201,0.445661,0.78974,0
0.065789,0.256592,0.096461,1.000616,0.608355,1.008352,1.066122,0.960939,0.753809,0.696645,0
-0.711343,0.930259,0.24553,0.712059,1.301222,0.06669,1.718048,0.873208,0.791126,1.548111,2
0.102651,-0.194439,1.200732,0.286218,0.810053,1.225724,-0.343175,0.416303,1.495987,-0.260177,3
0.03971,0.834612,0.541219,0.944555,0.690176,0.621587,0.03646,0.508697,0.833061,0.74944,1
1.028178,1.045026,0.189722,0.461761,0.140969,0.079996,0.477235,0.103997,0.551251,1.079893,3
0.619888,0.896023,0.593947,0.739005,0.561971,-0.046662,1.148127,0.972684,0.540244,0.200899,0
0.190931,0.764955,0.220848,0.33945,0.470834,0.37114,0.164375,0.563386,0.720361,0.187535,4
0.281803,0.090156,0.398298,0.413412,0.906357,0.866545,0.40291,0.128772,0.003906,0.807699,1
0.296252,0.630038,0.988765,0.906917,0.18073,0.862245,0.104795,0.875944,0.330272,0.254489,4
0.922574,0.390625,0.175564,0.144725,0.489944,0.885686,0.406979,0.527985,0.643556,0.152441,0
0.294764,0.677965,0.00463,-0.144939,0.448538,0.735553,0.93258,-0.088789,0.952169,0.154258,1
-0.111782,0.706896,0.26634,1.092973,0.562455,-0.061463,0.670126,0.645117,0.907215,0.688067,4
-0.027861,0.334262,0.106914,0.95444,0.534837,1.205768,1.012016,0.740893,0.643825,0.730472,0
0.196416,0.472971,0.200021,0.704645,0.967388,0.938378,0.302755,0.096344,0.706193,0.452566,4
0.021551,0.166729,0.518451,0.858851,0.935503,0.482009,0.156122,-0.005457,0.671159,0.189475,0
1.198962,-0.215071,0.48036,1.191572,0.818427,0.042188,0.430246,0.396638,0.521817,0.356191,1
0.198419,0.444213,0.442848,0.517898,0.689983,0.042587,0.632343,0.426135,0.397965,0.018193,0
0.213467,0.746757,0.102804,0.001992,0.380047,0.699345,0.626825,0.136733,0.681464,-0.051307,1
0.388436,0.999814,0.626911,0.684084,0.199513,0.390309,0.031081,0.282006,0.197277,0.728075,0
0.527625,-0.05304,0.925877,0.697535,0.874952,0.247067,0.07934,0.24154,0.541084,-0.282043,1
0.178568,0.203095,0.257088,1.042975,0.533889,0.954837,0.934734,0.860749,0.955438,0.666089,0
0.745344,0.734836,0.857664,0.539277,0.274585,0.75056,0.695787,0.06151,0.513406,0.815574,4
0.863697,0.240947,0.150331,0.454251,-0.012151,0.607313,0.864973,0.974317,0.801596,0.491016,2
0.453301,0.300693,0.421476,0.700077,0.364434,1.018721,0.751688,0.031735,0.641571,0.858327,2
0.181846,1.043028,0.046778,0.858424,-0.190216,0.534406,0.422618,1.159661,0.611597,-0.053168,2
0.753985,0.719223,0.828856,0.537105,0.252603,0.727802,0.702861,0.048485,0.523413,0.799871,4
1.109921,0.642319,0.298661,0.608201,0.074212,0.017032,0.239769,-0.045272,0.327182,0.881255,3
0.026801,0.970275,0.965888,0.535406,0.669882,0.381256,1.119291,0.331109,0.045867,0.482388,2
0.008202,0.451875,-0.061605,0.768597,0.598321,1.195448,0.717319,0.531611,1.140452,0.413122,0
0.415326,0.823763,0.485197,0.051303,0.37503,0.565541,0.843415,0.979614,0.429964,0.771169,2
0.247684,0.435745,0.62334,0.34289,0.907584,0.235099,0.296859,-0.009333,1.013631,0.568828,4
0.889882,0.64523,0.933255,1.109737,0.368255,0.980787,0.453249,0.745277,0.53832,0.379027,4
0.464959,0.383224,0.790317,0.979934,0.155574,0.603853,0.477552,0.706605,0.676286,0.594048,4
0.35912,0.149655,0.382659,0.748969,0.342193,0.952505,0.707412,0.015879,0.542817,1.003707,2
0.734966,0.664818,0.736233,0.128705,0.423427,0.961534,0.195155,1.084418,0.484028,0.617063,0
0.728441,1.111569,0.564892,0.457337,0.712216,-0.405894,0.725205,1.075873,0.542078,0.653336,0
0.478344,0.073466,0.565086,0.71145,0.251594,0.816023,0.163258,1.02375,0.566904,0.517209,4
0.281845,0.568819,1.184127,0.706231,0.323252,1.042991,-0.123233,0.728824,1.054007,0.130113,3
1.205561,0.535015,0.902937,0.573696,0.383917,0.15899,0.454187,0.734927,1.15706,-0.132901,4
0.413988,0.942977,0.607153,0.675425,0.256939,0.45339,0.087874,0.285208,0.213477,0.654709,0
