numeric1,numeric2,numeric3,numeric4,numeric5,numeric6,numeric7,numeric8,numeric9,numeric10,class
0.730878,0.410081,0.207715,0.332717,0.967756,0.006117,0.963705,0.939865,0.947195,0.937082,1
0.397174,0.347518,0.294057,0.506484,0.115967,0.770536,0.659893,0.156747,0.378202,0.139763,-1
0.694948,0.805228,0.005025,0.523135,0.743984,0.142023,0.481728,0.544555,0.5771,0.204914,-1
0.623364,0.184707,0.010684,0.161043,0.178055,0.540397,0.973834,0.245427,0.394521,0.217602,-1
0.432007,0.233156,0.889909,0.038327,0.592379,0.655174,0.119839,0.652477,0.984323,0.206738,-1
0.37465,0.46335,0.33361,0.443212,0.504136,0.998981,0.630405,0.909584,0.50766,0.491451,-1
0.428784,0.308093,0.717322,0.962415,0.209493,0.172649,0.548953,0.555468,0.587816,0.789191,-1
0.699007,0.204636,0.254909,0.777916,0.225022,0.983103,0.803619,0.836315,0.163104,0.637497,-1
0.00876,0.63119,0.207978,0.880357,0.707044,0.723372,0.509493,0.987102,0.153246,0.710575,-1
0.823981,0.123671,0.616951,0.481862,0.09975,0.617146,0.02812,0.591439,0.073026,0.074048,-1
0.679935,0.280002,0.603984,0.849641,0.353823,0.598632,0.292093,0.876443,0.74425,0.423233,-1
0.375808,0.271293,0.729824,0.886744,0.043703,0.4577,0.86245,0.901924,0.062488,0.76382,-1
0.4277,0.999183,0.061902,0.586321,0.567293,0.662026,0.907281,0.246486,0.248489,0.706858,-1
0.337721,0.607335,0.315423,0.024472,0.451009,0.369134,0.463838,0.177243,0.676123,0.715572,-1
0.74337,0.929103,0.589894,0.644012,0.11049,0.774604,0.306483,0.880599,0.630401,0.928894,-1
0.196689,0.754646,0.157631,0.042179,0.378623,0.786609,0.712752,0.110274,0.762133,0.030069,-1
0.316631,0.667073,0.426443,0.400557,0.743762,0.365306,0.763755,0.322669,0.512719,0.478676,-1
0.131169,0.031796,0.444457,0.691521,0.719076,0.77795,0.288101,0.781355,0.966254,0.996523,-1
0.239106,0.445181,0.130222,0.234474,0.656082,0.57223,0.555967,0.250296,0.920281,0.723751,-1
0.776991,0.242276,0.175702,0.444794,0.829691,0.601915,0.637947,0.303367,0.065397,0.938031,-1
0.266417,0.229171,0.303976,0.371941,0.857127,0.807076,0.388729,0.265246,0.032373,0.669785,-1
0.074361,0.609141,0.178662,0.029633,0.708154,0.277778,0.115788,0.691226,0.349011,0.228136,-1
0.1676,0.594631,0.80989,0.514929,0.348981,0.053093,0.60619,0.681526,0.583743,0.369752,1
0.945992,0.686431,0.224574,0.444599,0.707614,0.029798,0.658894,0.315918,0.81577,0.155579,1
0.453404,0.319708,0.549693,0.522259,0.315315,0.696113,0.094877,0.958808,0.129678,0.023599,-1
0.084721,0.052321,0.469954,0.819682,0.969097,0.349986,0.272886,0.011229,0.794023,0.100375,-1
0.818942,0.74786,0.379863,0.107704,0.766033,0.208782,0.945102,0.027574,0.746923,0.636326,-1
0.938539,0.093859,0.959682,0.81878,0.21481,0.833772,0.255716,0.64057,0.716492,0.801783,1
0.461383,0.11964,0.510583,0.742931,0.05687,0.559841,0.367996,0.882235,0.879977,0.06046,-1
0.071766,0.229253,0.222621,0.645459,0.292982,0.885505,0.544344,0.701811,0.183051,0.347333,-1
0.039794,0.249285,0.796681,0.707927,0.466092,0.80332,0.082084,0.479606,0.961182,0.238113,-1
0.453188,0.481088,0.065748,0.108823,0.893238,0.864376,0.798918,0.349781,0.129969,0.891994,-1
0.431965,0.129873,0.669616,0.517706,0.554398,0.916763,0.380352,0.172498,0.133272,0.478372,-1
